year,CO2,nonCO2,ANT,GHG,AER,NAT,TOT
1850,0.0,-0.1152045064849322,-0.4669712687166277,0.0135590462136518,0.0719866199019527,0.3517667622316954,-0.1152045064849322
1851,0.0025615381171013,0.1827550971174264,-0.0099274637195244,-0.1746212712925748,0.3496707618970241,0.1952440989540523,0.1853166352345278
1852,0.0053701492096111,0.1154082774439732,0.1979670877317904,-0.0262712660464658,-0.0848739394917356,-0.0771886610782059,0.1207784266535843
1853,0.0079100578602113,0.5318635979856646,0.1998547225684457,0.0374716672677033,0.3072578507873144,0.3399189332774302,0.539773655845876
1854,0.0101054065048086,-0.0489623354533093,0.1778484930018516,0.2070660014865615,-0.0190464785397247,-0.2167054219503524,-0.0388569289485007
1855,0.011918343115509,0.3161140847972273,0.079455904823161,-0.0215329610655824,0.1217338542019063,0.2485765230895752,0.3280324279127363
1856,0.0139785436119212,0.5687230160419305,0.3909362960789201,-0.2468791642631986,-0.0214286210418474,0.1917652635749316,0.5827015596538517
1857,0.0169343430690178,0.3122942882536945,-0.003916065339317,-0.3113680125569896,-0.1181641905538525,0.3331446966620294,0.3292286313227123
1858,0.0200790950466636,0.2078524353670576,-0.2537260612548397,0.2635946056814063,0.0302709889570346,0.481657591668561,0.2279315304137212
1859,0.0234314971586649,0.329238975338979,0.0295462916290635,0.1813080185018949,0.0384525295641758,0.3231241808685805,0.352670472497644
1860,0.0271245892355412,-0.0093676457029823,-0.2225021407042336,-0.2663840288267795,0.13984629345426,0.2402590842367924,0.0177569435325588
1861,0.0308155252342348,-0.2148165495992391,0.2549732919825293,-0.3382020369994559,-0.0853029396493716,-0.4389743163475336,-0.1840010243650042
1862,0.0339907590751424,-0.6164023071519733,-0.2106020419160223,0.1999121466918647,0.0564649845810461,-0.3718095061608085,-0.5824115480768308
1863,0.0372402779895038,0.4309400805934126,0.6364084796136685,0.0457897019570748,0.0361932181955666,-0.1682281210307521,0.4681803585829164
1864,0.04048799219458,-0.1114777103985848,0.1314974246992601,0.0370094182259273,-0.1272115744422072,-0.2024871429032649,-0.0709897182040048
1865,0.0437527607146376,-0.1638068229586832,-0.3241521747054584,0.1529443910685199,-0.0033571688429316,0.2040981124614127,-0.1200540622440456
1866,0.0469210090817364,0.0327386513338951,0.2972118880927155,0.1627638103379503,0.4108443197792055,-0.2175522276770838,0.0796596604156316
1867,0.0502202583716193,0.2030400095873456,0.2234878573278135,0.0415701126794562,0.1140563823519115,0.0297724106311513,0.2532602679589649
